Fluss;Land;_area;_length;dissolve;scalerank;featurecla;name_alt;rivernum;note;labelrank;sov_a3;adm0_dif;level;type;admin;adm0_a3;geou_dif;geounit;gu_a3;su_dif;subunit;su_a3;brk_diff;name_long;brk_a3;brk_name;brk_group;abbrev;postal;formal_en;formal_fr;note_adm0;note_brk;name_sort;mapcolor7;mapcolor8;mapcolor9;mapcolor13;pop_est;gdp_md_est;pop_year;lastcensus;gdp_year;economy;income_grp;wikipedia;fips_10;iso_a2;iso_a3;iso_n3;un_a3;wb_a2;wb_a3;woe_id;adm0_a3_is;adm0_a3_us;adm0_a3_un;adm0_a3_wb;continent;region_un;subregion;region_wb;name_len;long_len;abbrev_len;tiny;homepart
Allier;France;71,57550243;33251,2587;178River;5;River;;178000;Changed in 2.0;2;FR1;1;2;Country;France;FRA;0;France;FRA;0;France;FRA;0;France;FRA;France;;Fr.;F;French Republic;;;;France;7;5;9;11;64057792;2128000;-99;-99;-99;1. Developed region: G7;1. High income: OECD;-99;;FR;FRA;250;250;FR;FRA;-99;FRA;FRA;-99;-99;Europe;Europe;Western Europe;Europe & Central Asia;6;6;3;-99;1
Allier;France;71,57550243;451019,4852;178River;5;River;;178000;Changed in 2.0;2;FR1;1;2;Country;France;FRA;0;France;FRA;0;France;FRA;0;France;FRA;France;;Fr.;F;French Republic;;;;France;7;5;9;11;64057792;2128000;-99;-99;-99;1. Developed region: G7;1. High income: OECD;-99;;FR;FRA;250;250;FR;FRA;-99;FRA;FRA;-99;-99;Europe;Europe;Western Europe;Europe & Central Asia;6;6;3;-99;1
Loire;France;71,57550243;681334,4881;178River;5;River;;178;Changed in 2.0;2;FR1;1;2;Country;France;FRA;0;France;FRA;0;France;FRA;0;France;FRA;France;;Fr.;F;French Republic;;;;France;7;5;9;11;64057792;2128000;-99;-99;-99;1. Developed region: G7;1. High income: OECD;-99;;FR;FRA;250;250;FR;FRA;-99;FRA;FRA;-99;-99;Europe;Europe;Western Europe;Europe & Central Asia;6;6;3;-99;1
Drau;France;71,57550243;526318,533;303River;6;River;;303;Changed in 2.0;2;FR1;1;2;Country;France;FRA;0;France;FRA;0;France;FRA;0;France;FRA;France;;Fr.;F;French Republic;;;;France;7;5;9;11;64057792;2128000;-99;-99;-99;1. Developed region: G7;1. High income: OECD;-99;;FR;FRA;250;250;FR;FRA;-99;FRA;FRA;-99;-99;Europe;Europe;Western Europe;Europe & Central Asia;6;6;3;-99;1
Drau;Spain;53,68192811;46388,98445;303River;6;River;;303;Changed in 2.0;2;ESP;0;2;Sovereign country;Spain;ESP;0;Spain;ESP;0;Spain;ESP;0;Spain;ESP;Spain;;Sp.;E;Kingdom of Spain;;;;Spain;4;5;5;5;40525002;1403000;-99;2001;-99;2. Developed region: nonG7;1. High income: OECD;-99;;ES;ESP;724;724;ES;ESP;-99;ESP;ESP;-99;-99;Europe;Europe;Southern Europe;Europe & Central Asia;5;5;3;-99;1
Ariège;France;71,57550243;158467,7934;79000River;6;River;;79000;Changed in 2.0;2;FR1;1;2;Country;France;FRA;0;France;FRA;0;France;FRA;0;France;FRA;France;;Fr.;F;French Republic;;;;France;7;5;9;11;64057792;2128000;-99;-99;-99;1. Developed region: G7;1. High income: OECD;-99;;FR;FRA;250;250;FR;FRA;-99;FRA;FRA;-99;-99;Europe;Europe;Western Europe;Europe & Central Asia;6;6;3;-99;1
Meuse;Belgium;3,897350842;195110,7097;724River;8;River;;724;;2;BEL;0;2;Sovereign country;Belgium;BEL;0;Belgium;BEL;0;Belgium;BEL;0;Belgium;BEL;Belgium;;Belg.;B;Kingdom of Belgium;;;;Belgium;3;2;1;8;10414336;389300;-99;2011;-99;2. Developed region: nonG7;1. High income: OECD;-99;;BE;BEL;56;56;BE;BEL;-99;BEL;BEL;-99;-99;Europe;Europe;Western Europe;Europe & Central Asia;7;7;5;-99;1
Meuse;France;71,57550243;565339,2894;724River;8;River;;724;;2;FR1;1;2;Country;France;FRA;0;France;FRA;0;France;FRA;0;France;FRA;France;;Fr.;F;French Republic;;;;France;7;5;9;11;64057792;2128000;-99;-99;-99;1. Developed region: G7;1. High income: OECD;-99;;FR;FRA;250;250;FR;FRA;-99;FRA;FRA;-99;-99;Europe;Europe;Western Europe;Europe & Central Asia;6;6;3;-99;1
Meuse;France;71,57550243;697,5586581;724River;8;River;;724;;2;FR1;1;2;Country;France;FRA;0;France;FRA;0;France;FRA;0;France;FRA;France;;Fr.;F;French Republic;;;;France;7;5;9;11;64057792;2128000;-99;-99;-99;1. Developed region: G7;1. High income: OECD;-99;;FR;FRA;250;250;FR;FRA;-99;FRA;FRA;-99;-99;Europe;Europe;Western Europe;Europe & Central Asia;6;6;3;-99;1
Albert Nile;Uganda;19,65878023;191254,2388;9River;1;River;;9;;3;UGA;0;2;Sovereign country;Uganda;UGA;0;Uganda;UGA;0;Uganda;UGA;0;Uganda;UGA;Uganda;;Uga.;UG;Republic of Uganda;;;;Uganda;6;3;6;4;32369558;39380;-99;2002;-99;7. Least developed region;5. Low income;-99;;UG;UGA;800;800;UG;UGA;-99;UGA;UGA;-99;-99;Africa;Africa;Eastern Africa;Sub-Saharan Africa;6;6;4;-99;1
Albert Nile;South Sudan;51,35561779;3179,641803;9River;1;River;;9;;3;SDS;0;2;Sovereign country;South Sudan;SDS;0;South Sudan;SDS;0;South Sudan;SDS;0;South Sudan;SDS;S. Sudan;;S. Sud.;SS;Republic of South Sudan;;;;South Sudan;1;3;3;5;10625176;13227;-99;2008;-99;7. Least developed region;5. Low income;-99;;SS;SSD;728;728;SS;SSD;-99;SSD;SDS;-99;-99;Africa;Africa;Eastern Africa;Sub-Saharan Africa;8;11;7;-99;1
Albert Nile;Uganda;19,65878023;33230,55235;9Lake Centerline;1;Lake Centerline;;9;;3;UGA;0;2;Sovereign country;Uganda;UGA;0;Uganda;UGA;0;Uganda;UGA;0;Uganda;UGA;Uganda;;Uga.;UG;Republic of Uganda;;;;Uganda;6;3;6;4;32369558;39380;-99;2002;-99;7. Least developed region;5. Low income;-99;;UG;UGA;800;800;UG;UGA;-99;UGA;UGA;-99;-99;Africa;Africa;Eastern Africa;Sub-Saharan Africa;6;6;4;-99;1
Paran?;Argentina;278,6810641;101,9993958;99River;4;River;;99;;2;ARG;0;2;Sovereign country;Argentina;ARG;0;Argentina;ARG;0;Argentina;ARG;0;Argentina;ARG;Argentina;;Arg.;AR;Argentine Republic;;;;Argentina;3;1;3;13;40913584;573900;-99;2010;-99;5. Emerging region: G20;3. Upper middle income;-99;;AR;ARG;32;32;AR;ARG;-99;ARG;ARG;-99;-99;South America;Americas;South America;Latin America & Caribbean;9;9;4;-99;1
Paran?;Paraguay;35,30339202;66003,40478;99River;4;River;;99;;4;PRY;0;2;Sovereign country;Paraguay;PRY;0;Paraguay;PRY;0;Paraguay;PRY;0;Paraguay;PRY;Paraguay;;Para.;PY;Republic of Paraguay;;;;Paraguay;6;3;6;2;6995655;28890;-99;2002;-99;5. Emerging region: G20;4. Lower middle income;-99;;PY;PRY;600;600;PY;PRY;-99;PRY;PRY;-99;-99;South America;Americas;South America;Latin America & Caribbean;8;8;5;-99;1
Paran?;Argentina;278,6810641;5499,783911;99River;4;River;;99;;2;ARG;0;2;Sovereign country;Argentina;ARG;0;Argentina;ARG;0;Argentina;ARG;0;Argentina;ARG;Argentina;;Arg.;AR;Argentine Republic;;;;Argentina;3;1;3;13;40913584;573900;-99;2010;-99;5. Emerging region: G20;3. Upper middle income;-99;;AR;ARG;32;32;AR;ARG;-99;ARG;ARG;-99;-99;South America;Americas;South America;Latin America & Caribbean;9;9;4;-99;1
Paran?;Argentina;278,6810641;6,09E-08;99River;4;River;;99;;2;ARG;0;2;Sovereign country;Argentina;ARG;0;Argentina;ARG;0;Argentina;ARG;0;Argentina;ARG;Argentina;;Arg.;AR;Argentine Republic;;;;Argentina;3;1;3;13;40913584;573900;-99;2010;-99;5. Emerging region: G20;3. Upper middle income;-99;;AR;ARG;32;32;AR;ARG;-99;ARG;ARG;-99;-99;South America;Americas;South America;Latin America & Caribbean;9;9;4;-99;1
Paran?;Argentina;278,6810641;6,94E-08;99River;4;River;;99;;2;ARG;0;2;Sovereign country;Argentina;ARG;0;Argentina;ARG;0;Argentina;ARG;0;Argentina;ARG;Argentina;;Arg.;AR;Argentine Republic;;;;Argentina;3;1;3;13;40913584;573900;-99;2010;-99;5. Emerging region: G20;3. Upper middle income;-99;;AR;ARG;32;32;AR;ARG;-99;ARG;ARG;-99;-99;South America;Americas;South America;Latin America & Caribbean;9;9;4;-99;1
